uf,mes,acidentes,leitos_estim,atendimentos_estim,obitos
Rio Grande do Sul,Jan/26,355,71,440,28
Rio Grande do Sul,Fev/26,331,90,426,22
Rio Grande do Sul,Mar/26,398,103,474,26
Rio Grande do Sul,Abr/26,404,91,471,32
Rio Grande do Sul,Mai/26,389,80,451,30
Rio Grande do Sul,Jun/26,303,64,335,26
Santa Catarina,Jan/25,612,171,776,23
Santa Catarina,Fev/25,619,167,749,35
Santa Catarina,Mar/25,669,186,785,22
Santa Catarina,Abr/25,678,213,861,53
Santa Catarina,Mai/25,694,180,826,60
Santa Catarina,Jun/25,641,157,728,37
Santa Catarina,Jul/25,727,220,840,43
Santa Catarina,Ago/25,695,185,833,41
Santa Catarina,Set/25,667,186,813,27
Santa Catarina,Out/25,711,195,847,31
Santa Catarina,Nov/25,678,184,820,29
Santa Catarina,Dez/25,795,219,956,33
Santa Catarina,Jan/26,706,194,899,27
Santa Catarina,Fev/26,676,171,852,36
Santa Catarina,Mar/26,747,192,868,42
Santa Catarina,Abr/26,724,205,863,33
Santa Catarina,Mai/26,630,166,762,28
Santa Catarina,Jun/26,477,144,582,29
Sergipe,Jan/25,52,20,72,3
Sergipe,Fev/25,42,9,47,3
Sergipe,Mar/25,42,12,50,7
Sergipe,Abr/25,42,8,43,2
Sergipe,Mai/25,47,7,60,2
Sergipe,Jun/25,54,19,63,9
Sergipe,Jul/25,45,12,47,4
Sergipe,Ago/25,46,13,53,0
Sergipe,Set/25,42,8,50,5
Sergipe,Out/25,71,19,77,6
Sergipe,Nov/25,52,16,57,5
Sergipe,Dez/25,54,13,59,5
Sergipe,Jan/26,55,13,52,9
Sergipe,Fev/26,41,10,45,1
Sergipe,Mar/26,38,11,46,2
Sergipe,Abr/26,49,12,50,2
Sergipe,Mai/26,52,15,65,6
Sergipe,Jun/26,30,4,36,6
São Paulo,Jan/25,348,50,387,8
São Paulo,Fev/25,349,46,347,12
São Paulo,Mar/25,396,74,476,18
São Paulo,Abr/25,394,57,440,16
São Paulo,Mai/25,408,59,441,23
São Paulo,Jun/25,385,62,395,24
São Paulo,Jul/25,363,62,387,16
São Paulo,Ago/25,393,60,443,16
São Paulo,Set/25,390,62,449,19
São Paulo,Out/25,419,67,464,20
São Paulo,Nov/25,421,71,469,17
São Paulo,Dez/25,417,76,511,32
São Paulo,Jan/26,330,50,371,11
São Paulo,Fev/26,354,93,435,17
São Paulo,Mar/26,391,60,428,17
São Paulo,Abr/26,343,45,397,12
São Paulo,Mai/26,358,67,397,19
São Paulo,Jun/26,269,32,285,15
Tocantins,Jan/25,40,16,58,7
Tocantins,Fev/25,42,18,55,3
Tocantins,Mar/25,59,14,82,11
Tocantins,Abr/25,57,9,67,6
Tocantins,Mai/25,58,17,62,8
Tocantins,Jun/25,68,21,95,9
Tocantins,Jul/25,62,16,74,12
Tocantins,Ago/25,64,12,85,10
Tocantins,Set/25,53,13,64,9
Tocantins,Out/25,47,16,62,6
Tocantins,Nov/25,47,9,85,9
Tocantins,Dez/25,80,22,97,12
Tocantins,Jan/26,67,24,97,15
Tocantins,Fev/26,55,14,81,10
Tocantins,Mar/26,63,21,68,14
Tocantins,Abr/26,61,14,68,5
Tocantins,Mai/26,64,26,84,5
Tocantins,Jun/26,48,14,55,5
