uf,mes,acidentes
Goiás,Jun/26,183
Maranhão,Jan/25,65
Maranhão,Fev/25,90
Maranhão,Mar/25,95
Maranhão,Abr/25,86
Maranhão,Mai/25,109
Maranhão,Jun/25,88
Maranhão,Jul/25,115
Maranhão,Ago/25,90
Maranhão,Set/25,116
Maranhão,Out/25,141
Maranhão,Nov/25,117
Maranhão,Dez/25,150
Maranhão,Jan/26,110
Maranhão,Fev/26,95
Maranhão,Mar/26,110
Maranhão,Abr/26,116
Maranhão,Mai/26,95
Maranhão,Jun/26,81
Minas Gerais,Jan/25,751
Minas Gerais,Fev/25,639
Minas Gerais,Mar/25,802
Minas Gerais,Abr/25,715
Minas Gerais,Mai/25,742
Minas Gerais,Jun/25,807
Minas Gerais,Jul/25,882
Minas Gerais,Ago/25,847
Minas Gerais,Set/25,812
Minas Gerais,Out/25,840
Minas Gerais,Nov/25,852
Minas Gerais,Dez/25,881
Minas Gerais,Jan/26,797
Minas Gerais,Fev/26,665
Minas Gerais,Mar/26,807
Minas Gerais,Abr/26,718
Minas Gerais,Mai/26,687
Minas Gerais,Jun/26,587
Mato Grosso do Sul,Jan/25,123
Mato Grosso do Sul,Fev/25,108
Mato Grosso do Sul,Mar/25,149
Mato Grosso do Sul,Abr/25,149
Mato Grosso do Sul,Mai/25,129
Mato Grosso do Sul,Jun/25,137
Mato Grosso do Sul,Jul/25,144
Mato Grosso do Sul,Ago/25,152
Mato Grosso do Sul,Set/25,131
Mato Grosso do Sul,Out/25,135
Mato Grosso do Sul,Nov/25,145
Mato Grosso do Sul,Dez/25,152
Mato Grosso do Sul,Jan/26,133
Mato Grosso do Sul,Fev/26,138
Mato Grosso do Sul,Mar/26,136
Mato Grosso do Sul,Abr/26,118
Mato Grosso do Sul,Mai/26,141
Mato Grosso do Sul,Jun/26,98
Mato Grosso,Jan/25,209
Mato Grosso,Fev/25,207
Mato Grosso,Mar/25,224
Mato Grosso,Abr/25,208
Mato Grosso,Mai/25,228
Mato Grosso,Jun/25,218
Mato Grosso,Jul/25,229
Mato Grosso,Ago/25,224
Mato Grosso,Set/25,202
Mato Grosso,Out/25,238
Mato Grosso,Nov/25,228
Mato Grosso,Dez/25,221
Mato Grosso,Jan/26,221
Mato Grosso,Fev/26,230
Mato Grosso,Mar/26,205
Mato Grosso,Abr/26,193
Mato Grosso,Mai/26,193
Mato Grosso,Jun/26,175
Pará,Jan/25,66
Pará,Fev/25,73
Pará,Mar/25,74
Pará,Abr/25,92
Pará,Mai/25,88
Pará,Jun/25,99
Pará,Jul/25,96
Pará,Ago/25,109
Pará,Set/25,108
Pará,Out/25,93
Pará,Nov/25,122
Pará,Dez/25,97
Pará,Jan/26,80
Pará,Fev/26,91
Pará,Mar/26,93
Pará,Abr/26,86
Pará,Mai/26,97
Pará,Jun/26,65
Paraíba,Jan/25,198
Paraíba,Fev/25,153
Paraíba,Mar/25,156
Paraíba,Abr/25,183
