uf,tipo,acidentes
Sergipe,Atropelamento de Pedestre,40
Sergipe,Capotamento,13
Sergipe,Colisão com objeto,80
Sergipe,Colisão frontal,57
Sergipe,Colisão lateral mesmo sentido,56
Sergipe,Colisão lateral sentido oposto,17
Sergipe,Colisão transversal,118
Sergipe,Colisão traseira,167
Sergipe,Derramamento de carga,3
Sergipe,Engavetamento,7
Sergipe,Eventos atípicos,7
Sergipe,Incêndio,23
Sergipe,Queda de ocupante de veículo,82
Sergipe,Saída de leito carroçável,99
Sergipe,Tombamento,65
São Paulo,Atropelamento de Animal,49
São Paulo,Atropelamento de Pedestre,343
São Paulo,Capotamento,161
São Paulo,Colisão com objeto,719
São Paulo,Colisão frontal,121
São Paulo,Colisão lateral mesmo sentido,1070
São Paulo,Colisão lateral sentido oposto,51
São Paulo,Colisão transversal,323
São Paulo,Colisão traseira,1754
São Paulo,Derramamento de carga,9
São Paulo,Engavetamento,219
São Paulo,Eventos atípicos,36
São Paulo,Incêndio,202
São Paulo,Queda de ocupante de veículo,444
São Paulo,Saída de leito carroçável,506
São Paulo,Sinistro pessoal de trânsito,2
São Paulo,Tombamento,719
Tocantins,Atropelamento de Animal,23
Tocantins,Atropelamento de Pedestre,38
Tocantins,Capotamento,17
Tocantins,Colisão com objeto,40
Tocantins,Colisão frontal,112
Tocantins,Colisão lateral mesmo sentido,66
Tocantins,Colisão lateral sentido oposto,55
Tocantins,Colisão transversal,151
Tocantins,Colisão traseira,197
Tocantins,Derramamento de carga,3
Tocantins,Engavetamento,5
Tocantins,Eventos atípicos,10
Tocantins,Incêndio,27
Tocantins,Queda de ocupante de veículo,57
Tocantins,Saída de leito carroçável,150
Tocantins,Sinistro pessoal de trânsito,1
Tocantins,Tombamento,83
